data_key,data_period,Prorrata
11537,11,65.70475764533043
11537,12,65.90656296688873
11537,13,56.591144892712045
11537,14,56.61262471865422
11537,15,56.02347781032321
11537,16,57.38057212936922
11537,17,50.75927896227851
11537,18,63.6940306213669
11537,19,61.5438700442286
11677,9,187.725
11677,10,236.00016775673637
11677,11,270.8563087038415
11677,12,278.19393408382507
11677,13,245.80628946543624
11677,14,245.9919943401393
11677,15,240.28655894162918
11677,16,234.02188987908588
11677,17,205.29984142277934
11677,18,198.38763579407228
11677,19,175.29827559226544
11761,9,33.28
11761,10,50.66285287616044
11761,11,57.17983500017761
11761,12,56.606287154772204
11761,13,51.30141560108094
11761,14,52.46514987532349
11761,15,50.56032344086404
11761,16,51.846760420922976
11761,17,47.02289884793256
11761,18,50.79624668319936
11761,19,48.64477696734944
11775,9,0.2449995479
11775,10,0.0
11775,11,0.0
11775,12,0.0
11775,13,0.0
11775,14,0.0
11775,15,0.0
11775,16,0.0
11775,17,0.0
11775,18,0.0
11775,19,0.10675007518377112
11817,9,33.617
11817,10,51.17475326540693
11817,11,60.972853203255404
11817,12,61.93818647307665
11817,13,56.06261798186905
11817,14,56.40899975157183
11817,15,56.294491586777774
11817,16,57.670580490040095
11817,17,53.2872752246019
11817,18,56.49102173951442
11817,19,47.55451160001233
11859,9,0.2
11859,10,0.0
11859,11,0.16866368601248352
11859,12,0.8659795680701048
11859,13,1.2176787677249907
11859,14,1.5136566513186092
11859,15,1.5084062074450433
11859,16,1.2579855424184792
11859,17,0.8651662886713445
11859,18,0.5252046725023684
11859,19,0.07744454503502195
11943,9,64.97
11943,10,76.37582271191866
11943,11,77.01607337906185
11943,12,73.20205445989697
11943,13,63.44738016062463
11943,14,63.28936844465964
11943,15,63.08310100676957
11943,16,65.03086059501167
11943,17,60.19438991208852
11943,18,66.80018356259305
11943,19,68.98960712637586
11999,9,8.37
11999,10,13.78990561480974
11999,11,20.60853310587479
11999,12,22.878308732329923
11999,13,20.705869870749876
11999,14,21.05415694552498
11999,15,21.266651238579133
11999,16,22.04409983109473
11999,17,20.26070942577443
11999,18,20.974060075030447
11999,19,16.417144150450284
12279,9,42.4
12279,10,68.06653157632273
12279,11,71.76976971010875
12279,12,68.73745173690212
12279,13,59.37051115259338
12279,14,60.02040002242667
12279,15,58.82444595643108
12279,16,57.574817565261085
12279,17,52.71067041648409
12279,18,61.21567438446341
12279,19,65.82962677005708
12307,9,0.5098120727
12307,10,0.0
12307,11,0.0
12307,12,0.0
12307,13,0.0
12307,14,0.0
12307,15,0.0
12307,16,0.0
12307,17,0.0
12307,18,0.0
12307,19,0.0
12489,9,5.15
12489,10,5.962476403702436
12489,11,5.892133276468696
12489,12,5.792077183082481
12489,13,5.16396746768747
12489,14,5.121039236381245
12489,15,5.204162809644784
12489,16,5.263524957773684
12489,17,4.785177356443606
12489,18,5.311015018757613
12489,19,4.331786037612571
12503,9,63.59
12503,10,96.98085141766657
12503,11,112.94859129734257
12503,12,115.63064694798982
12503,13,102.36148120843684
12503,14,102.1770048286839
12503,15,101.68259733079782
12503,16,101.6525129270672
12503,17,86.25681756343769
12503,18,98.62534209392342
12503,19,100.3229041900641
12517,9,5.28
12517,10,9.07158801234145
12517,11,15.667110921562324
12517,12,19.666923943608268
12517,13,19.666558225624897
12517,14,20.503464121270813
12517,15,20.447209365482603
12517,16,20.158416525912276
12517,17,16.82392452147869
12517,18,15.580050062525377
12517,19,11.832620125375236
12531,9,77.079
12531,10,106.43087573392853
12531,11,119.11703274952299
12531,12,114.59790563534744
12531,13,100.77278920097001
12531,14,102.15633282464708
12531,15,101.25119705864022
12531,16,100.55904576532023
12531,17,90.00489688847058
12531,18,104.93552070472
12531,19,100.75157137145382
12629,11,0.29791079754060906
12629,12,1.665604112024744
12629,13,1.4344323668062406
12629,14,0.0
12629,15,1.3442036767934349
12629,16,1.3343589095321047
12629,17,1.324794722933082
12629,18,1.3240064709272836
12629,19,1.325690993183771
12671,9,1.623
12671,10,2.645117349788603
12671,11,6.711481228749766
12671,12,6.825565258144352
12671,13,1.5764109674998648
12671,14,0.0
12671,15,0.0
12671,16,0.0
12671,17,0.0
12671,18,0.40106675003383396
12671,19,0.23649350050031243
12741,9,0.3
12741,10,0.45222968767455196
12741,11,0.8350807252609234
12741,12,1.1452321220613413
12741,13,1.127968921759367
12741,14,1.2244495699037832
12741,15,1.2198554315144128
12741,16,1.1632373496161685
12741,17,0.6820205025874262
12741,18,0.5095540884395725
12741,19,0.2302639769056441
12825,9,0.0820422497
12825,10,0.0
12825,14,0.0
12825,15,0.7881605422482609
12825,16,1.3212865682912276
12825,17,1.0615867576478688
12825,18,0.8553148208525377
12825,19,0.5210515175375237
12895,9,0.1177951546
12895,10,0.06352103570243546
12895,11,0.6777405457686972
12895,12,1.0681499978824796
12895,13,0.7672226556874697
12895,14,0.9580563872812441
12895,15,0.914826506044783
12895,16,0.7764443303736822
12895,17,0.0
12895,18,0.04877969775761288
12895,19,0.0
12937,9,52.13
12937,10,71.62529337447148
12937,11,77.62370307187439
12937,12,78.43641314536087
12937,13,70.45852741874967
12937,14,70.37488040423605
12937,15,69.19736455160871
12937,16,71.76805508637425
12937,17,68.89308173826228
12937,18,73.90016687508461
12937,19,66.08873375125079
13119,9,25.1
13119,10,47.778375013964144
13119,11,88.30645802087385
13119,12,111.81856976490731
13119,13,102.43751374074935
13119,14,105.85596559230264
13119,15,99.78843452115304
13119,16,100.35898796929355
13119,17,81.8616402069941
13119,18,71.36432707516576
13119,19,39.921118152451534
13203,9,40.34
13203,10,40.50857302776827
13203,11,40.810999573515225
13203,12,38.97557887311859
13203,13,32.73975600765603
13203,14,32.45279427285932
13203,15,32.16622107233586
13203,16,33.12143718330263
13203,17,29.883830173327055
13203,18,33.60261264068208
13203,19,29.05339528209428
13301,9,1.0
13301,10,1.1911924491847794
13301,11,1.553482648469983
13301,12,1.8478646985863934
13301,13,1.7924695896599903
13301,14,1.7883325556419987
13301,15,1.7829320990863304
13301,16,1.8339279864875784
13301,17,1.338456754061954
13301,18,1.1059248060024363
13301,19,0.7653715320360225
13371,9,92.34
13371,10,183.38370536213006
13371,11,220.2865921503121
13371,12,231.4594892017526
13371,13,226.1519691931248
